classID,Course name
ENGR2510,Software Design
ENGR3532,Software Systems
ENGR2110,Principles of Engineering
ENGR3531,Data Science
ENGR3410,Computer Architecture
MTH2110,Discrete Math
MTH3120,Partial Differential Equations
ENGR3599,Advanced Algorithms
